qnm,output_norm
0.00976,7496.990891
0.00977,7473.897571
0.00978,7364.191296
0.00979,7472.104251
0.0098,7340.118219
0.00981,7472.109717
0.00982,7639.889069
0.00983,7079.066194
0.00984,7778.05587
0.00985,7095.332591
0.00986,6879.995951
0.00987,7276.930769
0.00988,7077.947368
0.00989,6750.354858
0.0099,7390.351012
0.00991,7107.972672
0.00992,6896.713765
0.00993,7361.229555
0.00994,7385.801215
0.00995,7154.228947
0.00996,7250.536032
0.00997,7118.290486
0.00998,6849.803239
0.00999,7093.829555
0.01,6897.492105
0.01001,7023.497571
0.01002,6909.581781
0.01003,7091.839069
0.01004,6994.780972
0.01005,6931.900405
0.01006,7627.732794
0.01007,6736.024494
0.01008,7043.184615
0.01009,7002.396154
0.0101,6993.394534
0.01011,7238.56498
0.01012,6856.847571
0.01013,6745.300202
0.01014,6968.726721
0.01015,7091.044737
0.01016,7188.506883
0.01017,7067.746356
0.01018,6793.628745
0.01019,7313.417814
0.0102,6912.056073
0.01021,6949.675304
0.01022,6762.875101
0.01023,7258.373077
0.01024,7687.559514
0.01025,7155.076518
0.01026,7168.220243
0.01027,6918.383198
0.01028,7137.134818
0.01029,7006.317004
0.0103,7227.546559
0.01031,6676.884615
0.01032,7136.032186
0.01033,7419.635628
0.01034,6817.495951
0.01035,6859.817814
0.01036,7017.043927
0.01037,6846.285628
0.01038,6758.804656
0.01039,7195.231984
0.0104,7061.431579
0.01041,6834.971862
0.01042,6876.184818
0.01043,6849.307085
0.01044,6764.632591
0.01045,6674.888664
0.01046,6872.967611
0.01047,6674.484008
0.01048,7375.804049
0.01049,6604.298583
0.0105,6812.054049
0.01051,6960.563563
0.01052,6849.466599
0.01053,6549.361336
0.01054,7097.069838
0.01055,6545.493522
0.01056,6691.861741
0.01057,6676.937247
0.01058,6713.432186
0.01059,6757.27753
0.0106,6770.42915
0.01061,7045.160121
0.01062,6332.480769
0.01063,6430.113563
0.01064,6399.572672
0.01065,6678.117206
0.01066,6395.9
0.01067,6863.918623
0.01068,6216.102632
0.01069,6491.295749
0.0107,6864.854453
0.01071,6816.464372
0.01072,6563.280769
0.01073,6352.976518
0.01074,6738.8917
0.01075,6558.13664
0.01076,6540.230162
0.01077,6952.226721
0.01078,6373.240891
0.01079,6277.572065
0.0108,6558.006478
0.01081,6710.415182
0.01082,6488.22915
0.01083,6684.210729
0.01084,6437.654656
0.01085,6528.902227
0.01086,6482.793522
0.01087,6379.409919
0.01088,6327.115587
0.01089,6508.339879
0.0109,6640.204251
0.01091,6342.307692
0.01092,6490.792915
0.01093,6584.513968
0.01094,6623.279352
0.01095,6101.37004
0.01096,6734.262753
0.01097,6586.177126
0.01098,6427.855668
0.01099,6355.311538
0.011,6422.703644
0.01101,6489.948381
0.01102,6368.277935
0.01103,6022.17085
0.01104,6200.657895
0.01105,6319.310121
0.01106,6344.8417
0.01107,6250.353441
0.01108,5917.304049
0.01109,6718.623279
0.0111,6114.652632
0.01111,6051.478138
0.01112,6036.482591
0.01113,6017.30587
0.01114,6043.980972
0.01115,5779.259514
0.01116,5967.00081
0.01117,6379.071457
0.01118,6090.225709
0.01119,6380.567004
0.0112,6018.158502
0.01121,5976.230769
0.01122,6066.860526
0.01123,6124.571457
0.01124,6303.559514
0.01125,6062.658502
0.01126,6113.537652
0.01127,6114.561336
0.01128,6048.768623
0.01129,5791.065587
0.0113,5776.575304
0.01131,6193.151417
0.01132,6220.250202
0.01133,5769.576721
0.01134,6168.954858
0.01135,5589.110324
0.01136,6009.481984
0.01137,5927.125304
0.01138,5773.222065
0.01139,5695.059514
0.0114,5857.531579
0.01141,6024.249595
0.01142,5768.85587
0.01143,5846.185628
0.01144,5316.656883
0.01145,5750.241903
0.01146,5639.375911
0.01147,5514.844534
0.01148,5706.352227
0.01149,5440.736235
0.0115,5725.733401
0.01151,5545.936032
0.01152,5292.580769
0.01153,5616.125709
0.01154,5821.284211
0.01155,5534.948988
0.01156,5692.608704
0.01157,5700.177733
0.01158,5637.205263
0.01159,5551.897368
0.0116,5791.914372
0.01161,5406.339676
0.01162,5420.876316
0.01163,5476.885425
0.01164,5299.985223
0.01165,5554.561943
0.01166,5316.801417
0.01167,5380.044534
0.01168,5396.080567
0.01169,5074.795951
0.0117,5202.42915
0.01171,4886.823684
0.01172,5398.480567
0.01173,5259.32834
0.01174,5155.364372
0.01175,5220.784818
0.01176,5323.88664
0.01177,5132.626113
0.01178,5161.070648
0.01179,5357.195344
0.0118,5151.898988
0.01181,5385.472874
0.01182,5261.734615
0.01183,5073.894939
0.01184,4883.079757
0.01185,5115.693725
0.01186,5100.613158
0.01187,5066.537652
0.01188,4886.90081
