q(nm^-1),Intensity
0.00872,1913.973955
0.00873,1761.968489
0.00874,1820.165434
0.00875,1835.044855
0.00876,1799.848071
0.00877,1819.413344
0.00878,1800.492122
0.00879,1796.91254
0.0088,1724.550482
0.00881,1734.88537
0.00882,1632.509807
0.00883,1787.202894
0.00884,1719.935691
0.00885,1654.976849
0.00886,1920.903215
0.00887,1688.380064
0.00888,1815.095338
0.00889,1778.706752
0.0089,1665.050482
0.00891,1798.704019
0.00892,1718.481833
0.00893,1810.289389
0.00894,1702.385048
0.00895,1776.919453
0.00896,1757.77074
0.00897,1692.728778
0.00898,1766.257878
0.00899,1745.870418
0.009,1629.330225
0.00901,1735.707074
0.00902,1741.149357
0.00903,1708.477974
0.00904,1607.625659
0.009050001,1590.890547
0.00906,1733.81254
0.00907,1761.902894
0.00908,1779.114791
0.00909,1827.383762
0.0091,1750.811897
0.00911,1760.411254
0.00912,1688.179743
0.00913,1668.626045
0.00914,1822.541318
0.00915,1692.540836
0.00916,1743.770096
0.00917,1654.916077
0.00918,1721.476367
0.00919,1665.386977
0.0092,1596.409228
0.00921,1593.86
0.00922,1673.666238
0.00923,1567.89627
0.00924,1614.277653
0.00925,1530.485129
0.00926,1633.372026
0.00927,1552.889791
0.00928,1663.519293
0.00929,1713.141158
0.0093,1823.738746
0.00931,1672.863183
0.00932,1658.109003
0.00933,1587.722637
0.00934,1650.27926
0.00935,1572.03209
0.00936,1706.103055
0.00937,1631.32299
0.00938,1635.578939
0.00939,1653.744373
0.0094,1605.010932
0.00941,1595.13492
0.00942,1739.202733
0.00943,1610.453537
0.00944,1565.544759
0.00945,1631.052251
0.00946,1616.213183
0.00947,1526.14582
0.00948,1665.22701
0.00949,1711.9209
0.0095,1526.54164
0.00951,1622.961415
0.00952,1655.04164
0.00953,1637.191961
0.00954,1551.708328
0.00955,1508.038633
0.00956,1585.680241
0.00957,1516.937926
0.00958,1545.780338
0.00959,1561.700627
0.009600001,1596.010338
0.00961,1748.011576
0.00962,1622.796785
0.00963,1716.569936
0.00964,1541.347203
0.00965,1544.893392
0.00966,1655.292283
0.00967,1669.308521
0.00968,1617.291961
0.00969,1693.244695
0.0097,1662.786013
0.00971,1642.120418
0.00972,1727.613344
0.00973,1552.86918
0.00974,1725.616399
0.00975,1648.047267
0.00976,1644.228778
0.00977,1626.226045
0.00978,1516.548473
0.00979,1717.71865
0.0098,1607.33791
0.00981,1646.988585
0.00982,1604.962733
0.00983,1611.935209
0.00984,1585.969839
0.00985,1693.741961
0.00986,1642.116399
0.00987,1662.473633
0.00988,1664.58119
0.00989,1478.852395
0.0099,1590.91508
0.00991,1731.074116
0.00992,1641.368489
0.00993,1592.001961
