qnm,output_norm
0.00579,3318.65457
0.0058,3342.184677
0.00581,3307.019489
0.00582,3347.106048
0.00583,3272.318952
0.00584,3123.785484
0.00585,3268.536425
0.00586,3382.247043
0.00587,3074.773522
0.00588,3060.17379
0.00589,3117.841263
0.0059,2858.243817
0.00591,2828.716801
0.00592,3052.402823
0.00593,2960.01828
0.00594,2990.871371
0.00595,2907.823925
0.00596,2764.336962
0.00597,2955.682392
0.00598,2853.302688
0.00599,2863.583737
0.006,2786.35578
0.00601,2608.346371
0.00602,2805.854167
0.00603,2641.907124
0.00604,2596.034005
0.00605,2560.861425
0.00606,2600.602823
0.00607,2435.816129
0.00608,2661.290323
0.00609,2636.815995
0.0061,2467.229839
0.00611,2619.820296
0.00612,2397.676075
0.00613,2365.440457
0.00614,2279.887903
0.00615,2167.192742
0.00616,2236.631855
0.00617,2281.676882
0.00618,2405.913978
0.00619,2303.662903
0.0062,2425.791263
0.00621,2303.262769
0.00622,2144.066129
0.00623,2266.752016
0.00624,2275.686962
0.00625,2030.721909
0.00626,2132.345027
0.00627,2139.387903
0.00628,2096.614247
0.00629,2158.253763
0.0063,2035.49543
0.00631,1904.724866
0.00632,2004.391801
0.00633,1940.661022
0.00634,1934.587769
0.00635,1948.788978
0.00636,2060.882661
0.00637,1815.570296
0.00638,1909.248387
0.00639,1905.439651
0.0064,2086.487903
0.00641,1781.747043
0.00642,1648.224597
0.00643,1718.84879
0.00644,1695.69328
0.00645,1755.292339
0.00646,1758.222715
0.00647,1849.48629
0.00648,1498.115188
0.00649,1646.661694
0.0065,1651.37621
0.00651,1709.146371
0.00652,1812.950269
0.00653,1559.261962
0.00654,1642.933333
0.00655,1615.618548
0.00656,1575.874866
0.00657,1690.404973
0.00658,1512.233871
0.00659,1477.176882
0.0066,1516.49086
0.00661,1314.094812
0.00662,1543.372581
0.00663,1485.431855
0.00664,1402.136559
0.00665,1241.269167
0.00666,1452.235215
0.00667,1429.211559
0.00668,1327.08129
0.00669,1348.603091
0.0067,1370.568548
0.00671,1403.337769
0.00672,1409.908468
0.00673,1387.493414
0.00674,1323.632581
0.00675,1274.877366
0.00676,1309.598185
0.00677,1403.609812
0.00678,1276.049046
0.00679,1114.046452
0.0068,1354.9625
0.00681,1182.278763
0.00682,1251.409086
0.00683,1304.612312
0.00684,1294.443172
0.00685,1113.624476
0.00686,1137.122903
0.00687,1101.310484
0.00688,1165.994624
0.00689,1125.298669
0.0069,1189.068105
0.00691,1151.170121
0.00692,1110.324046
0.00693,1181.50332
0.00694,1242.087272
0.00695,1102.914194
0.00696,987.9444489
0.00697,1056.910591
0.00698,886.5020161
0.00699,1088.384503
0.007,989.1151075
0.00701,960.2747715
0.00702,1110.565632
0.00703,1019.195228
0.00704,940.9643952
0.00705,1033.894328
0.00706,1058.213629
0.00707,904.156371
0.00708,925.6403898
0.00709,874.6424059
0.0071,1031.147742
0.00711,785.6893011
0.00712,928.9702554
0.00713,967.4387097
0.00714,1038.457809
0.00715,843.776586
0.00716,873.3572043
0.00717,929.2732796
0.00718,942.100914
0.00719,806.7570968
0.0072,812.6987903
0.00721,811.6306855
0.00722,762.3190054
0.00723,898.5774731
0.00724,822.8144086
0.00725,845.7661156
0.00726,937.291828
0.00727,745.8425403
0.00728,785.6584812
0.00729,806.4516129
0.0073,747.4037366
0.00731,689.3921909
0.00732,731.0700134
0.00733,886.0970565
0.00734,735.0028495
0.00735,747.2941129
0.00736,725.6116667
0.00737,817.2726344
0.00738,743.7610081
0.00739,746.4846774
0.0074,699.2472849
0.00741,766.7734812
0.00742,754.6794086
0.00743,652.7878629
0.00744,668.8928091
0.00745,552.2047581
0.00746,719.7200134
0.00747,697.5268817
0.00748,610.234664
0.00749,728.4748387
0.0075,687.207043
0.00751,661.0645833
0.00752,720.059328
0.00753,699.0250269
0.00754,645.3393145
0.00755,626.0920565
0.00756,662.555336
0.00757,646.6013844
0.00758,575.0767876
0.00759,662.4546371
0.0076,715.4245296
0.00761,629.7096102
0.00762,586.4131586
0.00763,739.6081183
0.00764,670.3057392
0.00765,571.3415591
0.00766,584.1078763
0.00767,606.3432527
0.00768,578.0588172
0.00769,596.4861694
0.0077,479.577379
0.00771,666.1580645
0.00772,706.6666667
0.00773,580.8876882
0.00774,564.2286425
0.00775,575.1654435
0.00776,516.549086
0.00777,524.1935484
0.00778,517.9835349
0.00779,524.7281183
0.0078,519.5795027
0.00781,610.4141667
0.00782,512.9682392
0.00783,558.0561694
0.00784,534.9903226
0.00785,541.3067742
0.00786,471.6762903
0.00787,502.6513306
0.00788,520.6330645
0.00789,511.6142742
0.0079,568.5557124
0.00791,486.305914
0.00792,463.7560215
0.00793,552.6659005
0.00794,495.1298656
0.007950001,518.9261962
0.00796,420.8161962
0.00797,508.5518548
0.00798,520.5635349
0.00799,554.1829704
0.008,470.5247581
0.00801,445.8394624
0.00802,458.0355242
0.00803,469.1600806
0.00804,488.3775941
0.00805,408.4931586
0.00806,457.1386022
0.00807,425.3128226
0.00808,469.2264247
0.00809,433.197379
0.0081,493.0204435
0.00811,450.0462903
0.00812,394.5452419
0.00813,487.4150941
0.00814,533.5198656
0.00815,467.479664
0.00816,490.4190726
0.00817,447.3886156
0.00818,478.4403091
0.00819,495.1439651
0.0082,472.5768952
0.00821,532.7859005
0.00822,484.6883065
0.00823,572.9053898
0.00824,417.7419355
0.00825,468.0001344
0.00826,439.5411559
0.00827,530.0124462
0.00828,422.1270161
0.00829,433.8337231
0.0083,441.4937366
0.00831,420.8733468
0.00832,450.4917473
0.00833,442.9039382
0.00834,405.9139919
0.00835,487.6660215
0.00836,388.7831586
0.00837,460.4392876
0.00838,423.835121
0.00839,434.0899866
0.0084,406.9593952
0.00841,431.7781452
0.00842,386.9847581
0.00843,437.6076613
0.00844,486.4239919
0.00845,436.7418145
0.00846,436.8987097
0.00847,449.8071102
0.00848,445.9805645
0.00849,417.609879
0.008500001,430.5275538
0.00851,474.7227151
0.00852,431.2343011
0.00853,405.7094355
0.00854,462.282043
0.00855,351.0062366
0.00856,395.5044489
0.00857,373.1299731
0.00858,438.5080645
0.00859,362.1518683
0.0086,427.2318145
0.00861,499.3727419
0.00862,423.4894355
0.00863,428.4837903
0.00864,365.8075269
0.00865,411.8569489
0.00866,436.9187634
0.00867,421.0710215
0.00868,433.3562769
0.00869,375.746707
0.0087,360.4141935
0.00871,402.5469758
0.00872,386.5331183
0.00873,427.8529301
0.00874,410.6414382
0.00875,443.7942339
0.00876,435.8678763
0.00877,472.0495027
0.00878,391.8265995
0.00879,421.8493683
0.0088,409.8632796
0.00881,482.2081855
0.00882,390.9571237
0.00883,418.8837097
0.00884,406.1727419
0.00885,392.3416398
0.00886,415.5532258
0.00887,367.426586
0.00888,391.7450806
0.00889,405.3000269
0.0089,470.4950134
0.00891,401.1473387
0.00892,411.3050134
0.00893,445.0712366
0.00894,444.9388038
0.00895,443.0965726
0.00896,391.7680242
0.00897,431.9952957
0.00898,434.0607124
0.00899,374.9039919
0.009,443.0479167
0.00901,367.9764919
0.00902,362.7496102
0.00903,389.0518011
0.00904,380.3364113
0.009050001,436.511707
0.00906,429.572957
0.00907,405.8579704
0.00908,365.1563038
0.00909,414.2228763
0.0091,462.4651344
0.00911,410.9430511
0.00912,403.7581183
0.00913,414.025121
0.00914,355.3427419
0.00915,427.8110887
0.00916,398.2738978
0.00917,416.5966532
0.00918,452.4877957
0.00919,349.7298522
0.0092,437.3272043
0.00921,357.122957
0.00922,401.7619355
0.00923,400.9663441
0.00924,446.8558468
0.00925,378.4843414
0.00926,346.143629
0.00927,420.7856452
0.00928,402.0154839
0.00929,438.6818817
0.0093,353.9626613
0.00931,388.5759812
0.00932,424.8183065
0.00933,441.7744489
0.00934,435.3588306
0.00935,365.1433602
0.00936,391.9711156
0.00937,384.9028495
0.00938,369.2172984
0.00939,365.552621
0.0094,410.9249328
0.00941,384.543871
0.00942,409.865914
0.00943,346.7470296
0.00944,387.9884005
0.00945,373.2956317
0.00946,420.5495833
0.00947,325.4996371
0.00948,408.0693683
0.00949,352.2816801
0.0095,393.5589785
0.00951,423.005578
0.00952,399.6268952
0.00953,334.1633333
0.00954,434.6628091
0.00955,355.1406048
0.00956,469.342043
0.00957,365.9946237
0.00958,406.9397312
0.00959,417.1599059
0.009600001,403.8689247
0.00961,449.8030511
0.00962,378.7938978
0.00963,397.8978898
0.00964,372.3714113
0.00965,364.3715457
0.00966,400.323078
0.00967,366.478629
0.00968,394.4174731
0.00969,400.8256452
0.0097,359.6382527
0.00971,403.522836
0.00972,402.7922177
0.00973,386.2981855
0.00974,467.7910484
0.00975,378.7335753
0.00976,393.0598656
0.00977,425.3883065
0.00978,367.1160349
0.00979,391.9843683
0.0098,500.4522312
0.00981,421.7630108
0.00982,420.0268817
0.00983,342.2310215
0.00984,435.6653495
0.00985,416.6666667
0.00986,390.0721505
0.00987,401.1765323
0.00988,392.0372043
0.00989,382.8883199
0.0099,392.7644355
0.00991,359.481922
0.00992,382.998629
0.00993,425.1369355
0.00994,448.5038575
0.00995,375.6272446
0.00996,381.3364113
0.00997,417.2066935
0.00998,362.173414
0.00999,428.843293
0.01,400.2329032
0.01001,396.0150538
0.01002,377.4589919
0.01003,381.3767473
0.01004,358.7772043
0.01005,359.2720296
0.01006,366.6615726
0.01007,413.3624731
0.01008,395.5119086
0.01009,421.9409274
0.0101,397.1439785
0.01011,350.4224194
